Month,air,rail,car
2002-12-01,55355434,448246102,231.262
2003-01-01,50602700,393287373,216.6
2003-02-01,46455943,390041481,201.9
2003-03-01,56033121,472573962,236.7
2003-04-01,51146721,483653074,238.1
2003-05-01,53591384,489484678,253.2
2003-06-01,59426357,531138943,252
2003-07-01,65041408,578767927,261.3
2003-08-01,64095456,557897322,259.6
2003-09-01,51347366,427807444,236
2003-10-01,55810667,463025617,253.4
2003-11-01,53249129,448181812,233.3
2003-12-01,57795908,489403554,237.6
2004-01-01,53447972,410338691,217.3
2004-02-01,52608801,389778365,210.4
2004-03-01,63600019,453014590,247.5
2004-04-01,61887720,471116666,245.4
